id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM054,barbachata,Pinirampus pirinampu,Pinirampus,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,setembro,2009,50.0,1000.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Clupeiformes,100.0,False
BM055,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Humaitá,downriver Santo Antonio rapid,vazante_seca,outubro,2009,44.0,1000.0,3,100.0,False,0.0,0.0,0.0,0.0,50.0,50.0,100.0,2,Aphyocharax sp.,50.0,True
BM056,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,,,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM057,barbachata,Pinirampus pirinampu,Pinirampus,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,setembro,2009,50.0,2000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM058,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,54.0,2000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Psectrogaster amazonica,100.0,False
BM059,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,49.0,1300.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Psectrogaster amazonica,100.0,False
BM060,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,36.0,500.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Curimatella meyeri,100.0,False
BM061,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,50.0,2000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM062,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,50.0,2000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Calophysus macropterus,100.0,False
BM063,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,64.0,5000.0,1,100.0,False,30.0,0.0,70.0,0.0,0.0,0.0,100.0,2,Siluriformes,70.0,True
