 popular_name;specie;localilty;area;season;month;year;standard_length (cm);weigth (g);stomach_fullness ;fish n.i.;bones;Characiformes;Clupeiformes;Gymnotyformes;Siluriformes;Anostomidae;Characidae;Curimatidae;Doradidae;Hemiodontidae;Pimelodidae;Myleinae;Tetragonopterinae;Adontosternarchus balaenops;Anadoras weddellii;Ancistrus sp. sideral;Apteronotus bonaparti;Astrodoras asterifrons;Astyanax aff. bimaculatus;Bryconops alburnoides;Calophysus macropterus;Cetopsis candiru;Cetopsis coecutiens;Curimatella meyeri;Duopalatinum peruano;Exallodontus aguanai;Hoplosternum littorale;Hypophthalmus marginatus;Leptodoras juruensis;Nemadoras humeralis;Mylossoma duriventre;Pellona castelnaeana;Pimelodina flavipinnis;Pimelodus blochii;Planiloricaria cryptodon;Potamorhina altamazonica;Potamorhina latior;Prochilodus nigricans;Psectrogaster amazonica;Psectrogastrer essequibensis;Psectrogaster rutiloides;Pseudanos trimaculatus;Pterodoras granulosus;Rhaphiodon vulpinus;Roeboides myersi;Schizodon fasciatus;Semaprochilodus insignis;Sternarchogiton preto;Tetragonopterus argenteus;Triportheus angulatus;Triportheus auritus;Acestrorhynchus spp.;Amblydoras spp.;Anodus spp.;Aphyocharax sp.;Brycon spp.;Caenotropus sp.;Cetopsis spp.;Crenicichla spp.;Geophagus spp.;Hypophthalmus spp.;Leporinus spp.;Megalonema spp.;Moenkhausia spp.;Mylossoma spp.;Pellona spp.;Pimelodus spp.;Pimelodella spp.;Plasgioscion spp.;Potamorhina spp.;Psectrogaster spp.;Semaprochilodus spp.;Sorubim spp.;Symbranchus spp.;Tetragonopterus spp.;Trachydoras spp.;Triportheus  spp.;scales;Coleoptera;Megaloptera;Trichoptera;Trichodactylus sp.;Macrobrachium spp.;reamins of invertebrates
Caparari;Pseudoplatystoma tigrinum;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;70;4000;2;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;74;5000;3;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;69;4000;2;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;;;2;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jau;Zungaro zungaro;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;May;2009;137;;3;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;May;2009;68;3500;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;October;2009;442;1131.38;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;September;2009;44;1000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;September;2009;50;1000;2;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Humaitá;downriver Santo Antonio rapid;Low-water;October;2009;44;1000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
